valor,rsi,b7l,b7u,b21l,b21u,ema100,ema200
"[139.933405, 42.6060354661395, 139.76231236845675, 140.14566048868616, 139.758652957447, 140.3336751377911, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.930015, 41.870063694266854, 139.7616062289597, 140.1453980567547, 139.75815874820137, 140.33384648989386, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.932545, 42.41689035721738, 139.7621338591809, 140.1455932836763, 139.75852852686654, 140.33371766360966, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.935205, 43.007432220243736, 139.76268460514495, 140.14580253771226, 139.75891131247928, 140.33358821133024, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.935205, 43.007432220243736, 139.76268460514495, 140.14580253771226, 139.75891131247928, 140.33358821133024, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.930125, 41.89354542673673, 139.76162924631706, 140.1454064679687, 139.75817494090413, 140.33384077338158, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.930855, 42.05004861573265, 139.7617818208021, 140.1454624649123, 139.75828213596495, 140.3338031021303, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.932785, 42.46950589208064, 139.76218371880444, 140.14561199548135, 139.75856331630183, 140.3337057313172, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.927055, 41.24792932081639, 139.76098423222646, 140.14517433920219, 139.7577190864349, 140.33400424689844, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.928605, 41.57138520692191, 139.76131056989624, 140.14529085867525, 139.75795025960622, 140.3339206927747, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.928655, 41.58190374980852, 139.76132107387065, 140.1452946404151, 139.7579576822345, 140.33391803205123, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.924765, 40.77915632754516, 139.76049956477382, 140.14500472094053, 139.7573737519226, 140.33413148617265, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.929505, 41.76153689774465, 139.76149942085712, 140.14535915057152, 139.7580835360475, 140.33387313061914, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.927035, 41.24378858605417, 139.76098001237693, 140.14517284476597, 139.75771608999395, 140.33400533857747, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.931985, 42.294626312537844, 139.76201739041406, 140.14554975244315, 139.75844715704966, 140.33374570009323, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.930485, 41.97057922157607, 139.7617045269981, 140.14543404443052, 139.7582278619257, 140.33382213807428, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.926855, 41.206559350080546, 139.76094202337248, 140.14515940519902, 139.75768910648722, 140.33401517922707, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.930525, 41.97915602329367, 139.76171288689784, 140.14543711310222, 139.7582337351086, 140.3338200744152, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
