datetime,pontos,valor,rsi,b7l,b7u,b21l,b21u,ema100,ema200
"[datetime.datetime(2023, 2, 17, 8, 44, 48, 51205), -2, 1.19341, 37.64705882354016, 1.1934164742902866, 1.1938735257097135, 1.1929274510645995, 1.1943492156020672, 1.1938638500000005, 1.1935322500000003, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 44, 49, 68021), -1, 1.193425, 38.32335329341842, 1.1934164742902866, 1.1938735257097135, 1.1929274510645995, 1.1943492156020672, 1.1938640000000005, 1.1935323250000003, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 44, 52, 211050), -1, 1.193465, 40.251572327051235, 1.1934164742902866, 1.1938735257097135, 1.1929274510645995, 1.1943492156020672, 1.1938644000000005, 1.1935325250000004, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 44, 53, 237959), -1, 1.19347, 40.50632911393294, 1.1934164742902866, 1.1938735257097135, 1.1929274510645995, 1.1943492156020672, 1.1938644500000004, 1.1935325500000002, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 44, 54, 254102), -1, 1.193455, 39.751552795035, 1.1934164742902866, 1.1938735257097135, 1.1929274510645995, 1.1943492156020672, 1.1938643000000004, 1.1935324750000005, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 44, 55, 285336), -1, 1.193445, 39.26380368099313, 1.1934164742902866, 1.1938735257097135, 1.1929274510645995, 1.1943492156020672, 1.1938642000000004, 1.1935324250000003, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 44, 56, 302866), -2, 1.1934, 37.209302325589206, 1.1934164742902866, 1.1938735257097135, 1.1929274510645995, 1.1943492156020672, 1.1938637500000004, 1.1935322000000004, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 44, 57, 331490), -1, 1.19342, 38.09523809524187, 1.1934164742902866, 1.1938735257097135, 1.1929274510645995, 1.1943492156020672, 1.1938639500000006, 1.1935323000000004, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 44, 58, 363662), -1, 1.193455, 39.751552795035, 1.1934164742902866, 1.1938735257097135, 1.1929274510645995, 1.1943492156020672, 1.1938643000000004, 1.1935324750000005, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 44, 59, 398636), -1, 1.19349, 41.55844155844567, 1.1934164742902866, 1.1938735257097135, 1.1929274510645995, 1.1943492156020672, 1.1938646500000005, 1.1935326500000003, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
